App ID, App Name
24066,Railworks German Wagon Pack
24067,Railworks BNSF Dash9 Pack
24068,Railworks Class 101 Pack
24069,Railworks GR Class 143 Pack
24070,Train Simulator: Fowler 4F Loco Add-On
24071,Railworks Class 02 Pack
24072,Railworks LightPacific Pack
24073,Railworks 4MT Pack
24074,Railworks CN Scenario Pack01
23130,Mole Control
23140,KrissX
23150,Fluttabyes
23160,Mole Control - Demo
23170,KrissX - Demo
23180,Fluttabyes - Demo
23200,I-Fluid
23300,Yosumin!
23310,The Last Remnant
23319,The Last Remnant
23320,Yosumin! Demo
23330,The Last Remnant Demo
23340,Last Remnant - Demo 2
23350,Last Remnant - Demo 3
23360,FINAL FANTASY XI
23380,Gyromancer
23390,FINAL FANTASY XI
23400,Imperium Romanum: Gold Edition
23410,Imperium Romanum: Gold Edition Demo
23420,Europa Universalis: Rome - Gold Edition
23440,Europa Universalis: Rome - Vae Victis
23450,Grand Ages: Rome
23455,Grand Ages: Rome Expansion
23460,Ceville
23469,Ceville
23470,Grand Ages: Rome - Demo
23480,Ceville - Demo
23490,Tropico 3 - Steam Special Edition
23500,Puzzle Quest: Galactrix
23510,Texas Cheat'Em
23520,Texas Cheat'em Demo
23530,Earth Defense Force: Insect Armageddon
23550,Earth Defense Force Battle Armor Weapon Chest
23551,Earth Defense Force Trooper Special Issue Enforcer Package
23552,Earth Defense Force Aerialist Munitions Package
23553,Earth Defense Force Tactician Advanced Tech Package
23600,Depths of Peril
23610,Depths of Peril Demo
23700,Puzzle Kingdoms
24012,Train Simulator: BNSF ES44AC &amp; SD40-2 Loco Add-On
24021,Train Simulator: Isle of Wight Route Add-On
24022,Railworks Class08
24023,Railworks Class66
24024,Railworks Class158
22634,Worms Reloaded Retro Pack
22635,Worms Reloaded - Soundtrack DLC
22636,Worms Reloaded - Singleplayer DLC
22637,Worms Reloaded - DE Check
22638,Worms Reloaded - PL Check
22639,Worms Reloaded - RU Check
22640,Alien Breed Evolution: Episode 1 Preorder DLC
22641,Alien Breed 2: Assault DLC
22642,Alien Breed 3: Descent DLC
22650,Alien Breed 2: Assault
22658,Alien Breed 2: Assault - PL Check
22660,Alien Breed 2: Assault Demo
22670,Alien Breed 3: Descent
22678,Alien Breed 3: Descent - PL Check
22680,Alien Breed 3: Descent Demo
22690,Worms Reloaded Demo
